球队编号,球队名称,所属联赛,所属国家,球场容量,净转会支出,阵容规模,平均年龄,外援人数,外援百分比,国脚人数
631,Chelsea FC,GB1,England,41631,+€98k,30,23.7,21,70.0,14
2288,Swansea City,GB1,England,21088,+€8.35m,22,24.8,17,77.3,4
985,Manchester United,GB1,England,74879,€-176.50m,26,26.2,19,73.1,17
931,Fulham FC,GB1,England,29589,€-56.40m,25,28.1,21,84.0,13
11,Arsenal FC,GB1,England,60704,€-280.73m,24,26.6,17,70.8,20
379,West Ham United,GB1,England,62500,€-53.10m,23,27.1,17,73.9,9
289,Sunderland AFC,GB1,England,48707,€-156.34m,28,25.2,23,82.1,15
281,Manchester City,GB1,England,61000,€-194.52m,28,26.4,19,67.9,22
180,Southampton FC,GB1,England,32384,+€86.56m,27,26.6,15,55.6,6
148,Tottenham Hotspur,GB1,England,62850,€-182.90m,30,25.7,22,73.3,19
31,Liverpool FC,GB1,England,61276,€-261.85m,28,26.1,21,75.0,18
29,Everton FC,GB1,England,52769,€-117.15m,26,26.8,13,50.0,11
1123,Norwich City,GB1,England,27244,€-10.33m,25,26.0,17,68.0,12
512,Stoke City,GB1,England,30089,+€17.00m,24,26.7,9,37.5,6
1071,Wigan Athletic,GB1,England,25133,+€290k,26,24.0,8,30.8,2
1039,Queens Park Rangers,GB1,England,18360,+€900k,26,25.9,15,57.7,8
762,Newcastle United,GB1,England,52258,€-102.85m,29,28.0,13,44.8,16
1032,Reading FC,GB1,England,24161,+€3.06m,30,23.1,14,46.7,5
984,West Bromwich Albion,GB1,England,26850,€-1.35m,25,27.8,8,32.0,4
405,Aston Villa,GB1,England,43205,€-12.65m,26,28.1,17,65.4,13
603,Cardiff City,GB1,England,33280,€-655k,28,25.5,24,85.7,8
3008,Hull City,GB1,England,25586,+€7.50m,28,25.0,17,60.7,6
873,Crystal Palace,GB1,England,25486,€-47.85m,30,26.3,20,66.7,20
1132,Burnley FC,GB1,England,21994,€-96.50m,31,27.7,22,71.0,11
1003,Leicester City,GB1,England,32259,+€57.30m,29,25.9,17,58.6,9
989,AFC Bournemouth,GB1,England,11307,+€129.31m,26,25.6,20,76.9,13
1010,Watford FC,GB1,England,21577,+€42.02m,30,26.3,24,80.0,12
641,Middlesbrough FC,GB1,England,33746,+€16.68m,25,26.1,8,32.0,6
1237,Brighton & Hove Albion,GB1,England,31876,+€63.15m,33,26.5,22,66.7,17
1110,Huddersfield Town,GB1,England,24500,+€11.28m,33,26.7,12,36.4,3
543,Wolverhampton Wanderers,GB1,England,31750,+€81.10m,27,26.0,22,81.5,14
350,Sheffield United,GB1,England,32702,+€31.02m,28,24.2,11,39.3,5
399,Leeds United,GB1,England,37890,€-106.70m,26,27.4,20,76.9,14
1148,Brentford FC,GB1,England,17250,+€50.91m,31,25.2,22,71.0,15
621,Athletic Bilbao,ES1,Spain,53289,€-17.80m,28,27.3,3,10.7,6
3709,Getafe CF,ES1,Spain,16800,+€10.80m,25,28.3,13,52.0,2
3368,Levante UD,ES1,Spain,26354,+€300k,27,25.9,8,29.6,4
1049,Valencia CF,ES1,Spain,49430,+€9.63m,27,28.3,14,51.9,4
681,Real Sociedad,ES1,Spain,39313,+€63.50m,25,26.3,9,36.0,14
13,Atletico de Madrid,ES1,Spain,70460,€-85.45m,23,27.8,16,69.6,18
418,Real Madrid,ES1,Spain,83186,€-165.50m,29,25.8,17,58.6,17
237,RCD Mallorca,ES1,Spain,26020,+€800k,26,27.9,11,42.3,9
150,Real Betis Balompie,ES1,Spain,71374,€-875k,27,29.3,13,48.1,9
142,Real Zaragoza,ES1,Spain,33608,+€30k,23,26.0,6,26.1,1
131,FC Barcelona,ES1,Spain,62657,+€3.70m,25,25.6,11,44.0,19
940,Celta de Vigo,ES1,Spain,22803,+€41.70m,28,27.1,9,32.1,6
16795,Granada CF,ES1,Spain,19336,+€19.70m,24,26.1,8,33.3,4
368,Sevilla FC,ES1,Spain,43883,+€54.75m,28,28.1,17,60.7,8
1050,Villarreal CF,ES1,Spain,23500,+€2.50m,27,26.5,13,48.1,11
1084,Malaga CF,ES1,Spain,30044,+€950k,27,27.9,8,29.6,0
714,RCD Espanyol Barcelona,ES1,Spain,37776,+€9.80m,24,27.4,7,29.2,2
1533,SD Eibar,ES1,Spain,8164,+€2.60m,26,28.3,5,19.2,0
472,UD Las Palmas,ES1,Spain,32400,+€14.06m,27,26.6,6,22.2,1
1244,CD Leganes,ES1,Spain,14422,+€17.05m,24,27.7,5,20.8,3
1108,Deportivo Alaves,ES1,Spain,19840,+€20.88m,24,28.2,10,41.7,3
897,Deportivo de La Coruna,ES1,Spain,32912,€-435k,24,27.7,3,12.5,0
12321,Girona FC,ES1,Spain,14624,+€29.15m,27,28.7,14,51.9,5
367,Rayo Vallecano,ES1,Spain,14708,€-7.10m,27,28.9,14,51.9,8
366,Real Valladolid CF,ES1,Spain,27618,+€11.30m,28,25.4,14,50.0,1
331,CA Osasuna,ES1,Spain,23576,+€1.50m,23,28.1,3,13.0,3
2687,Cadiz CF,ES1,Spain,21094,+€4.00m,26,28.7,6,23.1,2
5358,SD Huesca,ES1,Spain,9128,+€1.43m,24,27.5,8,33.3,2
1531,Elche CF,ES1,Spain,31388,+€22.90m,26,26.8,10,38.5,2
506,Juventus FC,IT1,Italy,41507,€-48.75m,25,27.5,18,72.0,18
5,AC Milan,IT1,Italy,75923,+€6.00m,23,27.4,18,78.3,19
410,Udinese Calcio,IT1,Italy,25144,+€47.65m,26,26.3,21,80.8,8
398,SS Lazio,IT1,Italy,70634,+€13.55m,28,27.8,17,60.7,11
6195,SSC Napoli,IT1,Italy,54726,€-15.35m,26,28.8,17,65.4,16
46,FC Internazionale,IT1,Italy,75923,€-48.35m,24,29.5,16,66.7,15
12,AS Roma,IT1,Italy,70634,€-24.45m,27,26.3,19,70.4,13
130,Parma FC,IT1,Italy,22352,+€42.29m,25,24.7,19,76.0,2
1025,Bologna FC 1909,IT1,Italy,36462,+€27.70m,27,27.4,17,63.0,11
862,Chievo Verona,IT1,Italy,31045,+-0,0,,0,,0
1627,Calcio Catania,IT1,Italy,20204,€-101k,27,26.0,5,18.5,0
800,Atalanta BC,IT1,Italy,24950,€-8.28m,24,27.5,14,58.3,18
430,ACF Fiorentina,IT1,Italy,43147,€-29.21m,27,26.1,11,40.7,9
1387,Robur Siena,IT1,Italy,15373,+-0,20,25.5,2,10.0,0
1390,Cagliari Calcio,IT1,Italy,16416,+€800k,29,25.6,14,48.3,6
458,US Palermo,IT1,Italy,36365,€-7.94m,28,25.6,7,25.0,4
252,Genoa CFC,IT1,Italy,34901,+€47.93m,26,26.8,18,69.2,8
2921,Delfino Pescara 1936,IT1,Italy,20476,+€4.60m,28,24.6,6,21.4,1
416,Torino FC,IT1,Italy,28177,+€21.84m,30,26.4,24,80.0,10
1038,UC Sampdoria,IT1,Italy,36348,+€1.75m,33,24.3,5,15.6,4
6574,US Sassuolo,IT1,Italy,21584,€-34.63m,29,26.1,18,62.1,12
1210,AS Livorno,IT1,Italy,19238,+-0,29,24.1,5,17.2,0
276,Hellas Verona,IT1,Italy,39211,+€7.30m,30,26.0,26,86.7,9
1429,AC Cesena,IT1,Italy,23860,+€335k,28,26.0,4,14.3,0
4083,FC Crotone,IT1,Italy,16640,+€3.90m,25,27.0,6,24.0,1
4171,Benevento Calcio,IT1,Italy,16867,€-1.93m,31,26.7,16,51.6,2
2722,SPAL 2013,IT1,Italy,16134,+€2.75m,32,26.0,8,25.0,2
8970,Frosinone Calcio,IT1,Italy,16227,+€5.81m,31,23.8,15,48.4,5
19,Brescia Calcio,IT1,Italy,19550,+€3.65m,28,25.1,12,42.9,1
1005,US Lecce,IT1,Italy,31559,+€8.62m,27,25.3,23,85.2,13
3522,Spezia Calcio,IT1,Italy,11676,€-3.95m,32,24.4,25,78.1,11
749,FC Empoli,IT1,Italy,19847,+€23.57m,33,24.4,9,27.3,1
27,Bayern Munich,L1,Germany,75000,+€12.90m,25,27.1,13,52.0,20
16,Borussia Dortmund,L1,Germany,81365,€-23.20m,26,26.5,14,53.8,16
15,Bayer 04 Leverkusen,L1,Germany,30210,+€31.70m,27,26.7,21,77.8,12
33,FC Schalke 04,L1,Germany,62271,+€10.30m,27,26.4,12,44.4,4
24,Eintracht Frankfurt,L1,Germany,59500,+€53.40m,29,25.7,19,65.5,14
41,Hamburger SV,L1,Germany,57000,€-8.46m,30,25.2,23,76.7,10
18,Borussia Monchengladbach,L1,Germany,54042,+€10.75m,28,26.1,15,53.6,9
4,1.FC Nuremberg,L1,Germany,50000,+€2.63m,33,25.2,7,21.2,2
82,VfL Wolfsburg,L1,Germany,28917,€-30.98m,33,25.6,24,72.7,15
86,SV Werder Bremen,L1,Germany,41800,€-2.15m,30,25.5,18,60.0,9
167,FC Augsburg,L1,Germany,30660,€-8.45m,29,25.7,19,65.5,8
65,SpVgg Greuther Furth,L1,Germany,16626,+€3.97m,28,24.0,11,39.3,2
533,TSG 1899 Hoffenheim,L1,Germany,30150,+€1.35m,29,25.5,20,69.0,11
38,Fortuna Dusseldorf,L1,Germany,54600,+€600k,29,25.9,12,41.4,2
42,Hannover 96,L1,Germany,49000,€-300k,28,25.0,6,21.4,1
79,VfB Stuttgart,L1,Germany,60449,+€57.05m,30,25.0,14,46.7,14
39,1.FSV Mainz 05,L1,Germany,33305,+€5.73m,31,27.4,15,48.4,10
44,Hertha BSC,L1,Germany,74667,+€6.70m,36,24.1,14,38.9,7
23,Eintracht Braunschweig,L1,Germany,23325,+€750k,30,25.6,11,36.7,2
60,SC Freiburg,L1,Germany,34700,€-1.15m,25,28.2,9,36.0,5
3,1. FC Koln,L1,Germany,50000,€-12.13m,30,26.0,12,40.0,5
127,SC Paderborn 07,L1,Germany,15000,€-450k,26,25.7,5,19.2,1
4795,FC Ingolstadt 04,L1,Germany,15800,+€1.55m,28,24.3,8,28.6,1
105,SV Darmstadt 98,L1,Germany,17810,+€3.05m,27,25.6,13,48.1,1
23826,RB Leipzig,L1,Germany,47069,+€38.05m,28,24.3,19,67.9,12
89,1.FC Union Berlin,L1,Germany,22012,+€300k,26,27.2,17,65.4,8
1041,Olympique Lyon,FR1,France,59186,+€62.11m,29,25.5,23,79.3,12
1423,Valenciennes FC,FR1,France,25000,+€2.52m,30,23.6,15,50.0,5
1421,Stade Reims,FR1,France,20519,+€81.98m,24,24.0,19,79.2,7
1159,AS Nancy-Lorraine,FR1,France,20087,+-0,27,25.7,5,18.5,0
1158,FC Lorient,FR1,France,16787,+€600k,25,26.1,18,72.0,10
1082,LOSC Lille,FR1,France,50186,+€61.60m,28,26.5,19,67.9,12
969,Montpellier HSC,FR1,France,22000,+€6.55m,23,24.3,10,43.5,2
750,FC Sochaux-Montbeliard,FR1,France,20005,+€6.30m,29,23.0,9,31.0,1
583,Paris Saint-Germain,FR1,France,48583,€-47.20m,24,24.2,16,66.7,20
417,OGC Nice,FR1,France,36178,+€72.82m,29,25.9,19,65.5,13
273,Stade Rennais FC,FR1,France,29778,+€50.15m,23,25.6,10,43.5,11
415,FC Toulouse,FR1,France,33150,+€31.35m,24,24.2,17,70.8,7
244,Olympique Marseille,FR1,France,67394,+€20.35m,25,26.9,24,96.0,14
618,AS Saint-Etienne,FR1,France,41965,€-22.05m,29,24.1,16,55.2,7
595,SC Bastia,FR1,France,16480,+€480k,25,27.6,8,32.0,6
162,AS Monaco,FR1,France,18525,+€135.57m,28,25.9,28,100.0,12
14171,FC Evian Thonon Gaillard,FR1,France,2500,+-0,27,27.4,6,22.2,1
40,FC Girondins Bordeaux,FR1,France,42115,+€12.70m,26,22.7,13,50.0,6
1162,SM Caen,FR1,France,20500,+€3.05m,27,25.7,12,44.4,4
995,FC Nantes,FR1,France,35322,+€32.00m,30,26.8,16,53.3,8
1420,SCO Angers,FR1,France,19350,+€20.25m,24,26.0,14,58.3,7
2969,Dijon FCO,FR1,France,16098,+€1.50m,29,25.8,14,48.3,4
1416,Amiens SC,FR1,France,12999,+€700k,24,24.1,10,41.7,7
347,FC Metz,FR1,France,28786,+€29.85m,27,25.9,19,70.4,9
667,RC Strasbourg Alsace,FR1,France,32000,€-26.30m,26,22.8,22,84.6,12
855,EA Guingamp,FR1,France,18120,+€3.70m,27,25.4,7,25.9,1
1160,Nimes Olympique,FR1,France,8033,+€2.50m,26,25.4,12,46.2,3
3911,Stade Brestois 29,FR1,France,15220,+€23.70m,23,25.5,11,47.8,6
826,RC Lens,FR1,France,38223,+€45.55m,29,26.6,9,31.0,9
1095,ESTAC Troyes,FR1,France,21877,+-0,29,23.1,16,57.1,5
3302,UD Almeria,ES1,Spain,18331,€-1.60m,24,25.2,13,54.2,5
