联赛,赛季,联赛平均上座,联赛中位上座,赛季总场次,联赛名称
ES1,2012,28562.647368421054,23947.0,380,La Liga(西甲)
ES1,2013,26991.434210526317,21127.5,380,La Liga(西甲)
ES1,2014,26791.176315789475,19290.0,380,La Liga(西甲)
ES1,2015,27973.594736842104,21852.0,380,La Liga(西甲)
ES1,2016,28182.805263157894,21498.0,380,La Liga(西甲)
ES1,2017,27290.100263852244,19453.0,380,La Liga(西甲)
ES1,2018,27092.147368421054,19233.0,380,La Liga(西甲)
ES1,2019,29232.99628252788,19645.0,380,La Liga(西甲)
ES1,2020,3529.0,3518.0,380,La Liga(西甲)
ES1,2021,22972.18157894737,16663.5,380,La Liga(西甲)
ES1,2022,29574.273684210526,20277.5,380,La Liga(西甲)
ES1,2023,29076.063157894736,20455.0,380,La Liga(西甲)
ES1,2024,30015.9,22441.0,380,La Liga(西甲)
ES1,2025,30952.426315789475,25056.5,380,La Liga(西甲)
FR1,2012,19262.02374670185,15549.0,380,Ligue 1(法甲)
FR1,2013,21109.090185676392,15972.0,380,Ligue 1(法甲)
FR1,2014,22329.193121693123,17670.5,380,Ligue 1(法甲)
FR1,2015,20914.31052631579,16707.0,380,Ligue 1(法甲)
FR1,2016,21175.80585106383,17678.5,380,Ligue 1(法甲)
FR1,2017,22584.229551451186,18689.0,380,Ligue 1(法甲)
FR1,2018,22863.49604221636,17676.0,380,Ligue 1(法甲)
FR1,2019,22529.537634408603,15856.0,279,Ligue 1(法甲)
FR1,2020,3668.1641791044776,4114.0,380,Ligue 1(法甲)
FR1,2021,21441.573369565216,16773.0,380,Ligue 1(法甲)
FR1,2022,23708.755263157895,18717.5,380,Ligue 1(法甲)
FR1,2023,27023.069306930694,24898.0,306,Ligue 1(法甲)
FR1,2024,27946.444444444445,23883.0,306,Ligue 1(法甲)
FR1,2025,27576.23355263158,23135.0,306,Ligue 1(法甲)
GB1,2012,35921.084210526315,34585.0,380,Premier League(英超)
GB1,2013,36657.39473684211,34949.0,380,Premier League(英超)
GB1,2014,36175.905263157896,34907.0,380,Premier League(英超)
GB1,2015,36461.313157894736,34894.5,380,Premier League(英超)
GB1,2016,35805.12105263158,31680.0,380,Premier League(英超)
GB1,2017,38273.92894736842,31442.0,380,Premier League(英超)
GB1,2018,38188.11842105263,31948.0,380,Premier League(英超)
GB1,2019,39315.055555555555,32197.5,380,Premier League(英超)
GB1,2020,5086.290322580645,3500.0,380,Premier League(英超)
GB1,2021,39870.18306010929,36618.5,380,Premier League(英超)
GB1,2022,40236.186842105264,37947.0,380,Premier League(英超)
GB1,2023,38557.257894736846,35018.0,380,Premier League(英超)
GB1,2024,40474.607894736844,34659.0,380,Premier League(英超)
GB1,2025,41607.02380952381,39838.5,380,Premier League(英超)
IT1,2012,23101.93650793651,19776.0,380,Serie A(意甲)
IT1,2013,23331.77105263158,19990.0,380,Serie A(意甲)
IT1,2014,22167.894736842107,18339.5,380,Serie A(意甲)
IT1,2015,22213.386842105265,19383.5,380,Serie A(意甲)
IT1,2016,21966.56842105263,18841.0,380,Serie A(意甲)
IT1,2017,24783.292105263157,19103.0,380,Serie A(意甲)
IT1,2018,25062.722222222223,19768.5,380,Serie A(意甲)
IT1,2019,27226.068,21632.5,380,Serie A(意甲)
IT1,2020,913.5294117647059,1000.0,380,Serie A(意甲)
IT1,2021,18235.734210526316,13056.0,380,Serie A(意甲)
IT1,2022,29537.139473684212,21763.0,380,Serie A(意甲)
IT1,2023,30916.281578947368,24929.0,380,Serie A(意甲)
IT1,2024,30772.957783641163,23907.0,380,Serie A(意甲)
IT1,2025,29891.9,23087.0,380,Serie A(意甲)
L1,2012,42645.702614379086,41660.0,306,Bundesliga(德甲)
L1,2013,43498.2614379085,41004.5,306,Bundesliga(德甲)
L1,2014,43583.71241830065,42100.0,306,Bundesliga(德甲)
L1,2015,43267.57843137255,42100.0,306,Bundesliga(德甲)
L1,2016,41526.57843137255,41473.0,306,Bundesliga(德甲)
L1,2017,44657.248366013075,42558.0,306,Bundesliga(德甲)
L1,2018,43467.009803921566,40911.0,306,Bundesliga(德甲)
L1,2019,40867.291479820626,39244.0,306,Bundesliga(德甲)
L1,2020,4600.5142857142855,4500.0,306,Bundesliga(德甲)
L1,2021,22341.378472222223,19430.0,306,Bundesliga(德甲)
L1,2022,42992.901960784315,41576.5,306,Bundesliga(德甲)
L1,2023,39506.72549019608,33305.0,306,Bundesliga(德甲)
L1,2024,38662.09150326798,30660.0,306,Bundesliga(德甲)
L1,2025,42308.2614379085,34700.0,306,Bundesliga(德甲)
