球员编号,姓名(英文),场上位置(大类),场上位置(细分),惯用脚,身高_cm,国籍(国际),出生日期,转会时年龄,国籍(转会源),位置(转会源)
50202,Eden Hazard,Attack,Left Winger,right,175.0,Belgium,1991-01-07 00:00:00,21.0,Belgium,LW
59866,Victor Moses,Midfield,Right Midfield,right,177.0,Nigeria,1990-12-12 00:00:00,21.0,Nigeria,RM
57500,Cesar Azpilicueta,Defender,Centre-Back,right,178.0,Spain,1989-08-28 00:00:00,22.0,Spain,RB
35251,Marko Marin,Midfield,Attacking Midfield,right,170.0,Germany,1989-03-13 00:00:00,23.0,Germany,AM
46220,Pablo Hernandez,Midfield,Attacking Midfield,right,173.0,Spain,1985-04-11 00:00:00,27.0,Spain,AM
70789,Michu,Attack,Second Striker,left,185.0,Spain,1986-03-21 00:00:00,26.0,Spain,SS
51681,Chico Flores,Defender,Centre-Back,right,187.0,Spain,1987-03-06 00:00:00,25.0,Spain,CB
4380,Robin van Persie,Attack,Centre-Forward,left,183.0,Netherlands,1983-08-06 00:00:00,29.0,Netherlands,CF
81785,Shinji Kagawa,Midfield,Attacking Midfield,right,175.0,Japan,1989-03-17 00:00:00,23.0,Japan,AM
65,Dimitar Berbatov,Attack,Centre-Forward,,,Bulgaria,1981-01-30 00:00:00,31.0,Bulgaria,CF
13979,Ashkan Dejagah,Attack,Right Winger,right,181.0,Iran,1986-07-05 00:00:00,26.0,Iran,RW
3548,Kieran Richardson,Defender,Left-Back,left,177.0,England,1984-10-21 00:00:00,27.0,England,LB
15799,Santi Cazorla,Midfield,Central Midfield,both,168.0,Spain,1984-12-13 00:00:00,27.0,Spain,CM
82442,Olivier Giroud,Attack,Centre-Forward,left,192.0,France,1986-09-30 00:00:00,25.0,France,CF
46831,Modibo Maiga,Attack,Centre-Forward,left,185.0,Mali,1987-09-03 00:00:00,24.0,Mali,CF
12691,James Collins,Defender,Centre-Back,right,188.0,Wales,1983-08-23 00:00:00,28.0,Wales,CB
1327,Alou Diarra,Midfield,Defensive Midfield,right,189.0,France,1981-07-15 00:00:00,31.0,France,DM
31579,Adam Johnson,Attack,Right Winger,left,182.0,England,1987-07-14 00:00:00,25.0,England,RW
143559,Matija Nastasic,Defender,Centre-Back,left,187.0,Serbia,1993-03-28 00:00:00,19.0,Serbia,CB
57079,Jack Rodwell,Midfield,Defensive Midfield,right,188.0,England,1991-03-11 00:00:00,21.0,England,DM
31552,Scott Sinclair,Attack,Left Winger,right,177.0,England,1989-03-25 00:00:00,23.0,England,LW
18301,Maicon,Defender,Right-Back,right,185.0,Brazil,1981-07-26 00:00:00,31.0,Brazil,RB
123742,Gaston Ramirez,Midfield,Attacking Midfield,left,183.0,Uruguay,1990-12-02 00:00:00,21.0,Uruguay,AM
19368,Mousa Dembele,Midfield,Central Midfield,left,185.0,Belgium,1987-07-16 00:00:00,25.0,Belgium,CM
17965,Hugo Lloris,Goalkeeper,Goalkeeper,left,188.0,France,1986-12-26 00:00:00,25.0,France,GK
90466,Gylfi Sigurdsson,Midfield,Attacking Midfield,right,186.0,Iceland,1989-09-08 00:00:00,22.0,Iceland,AM
27577,Clint Dempsey,Attack,Second Striker,right,185.0,United States,1983-03-09 00:00:00,29.0,United States,SS
8883,Emmanuel Adebayor,Attack,Centre-Forward,right,192.0,Togo,1984-02-26 00:00:00,28.0,Togo,CF
51452,Joe Allen,Midfield,Central Midfield,right,170.0,Wales,1990-03-14 00:00:00,22.0,Wales,CM
96754,Fabio Borini,Attack,Left Winger,right,180.0,Italy,1991-03-29 00:00:00,21.0,Italy,LW
95295,Samed Yesil,Attack,Centre-Forward,right,180.0,Germany,1994-05-25 00:00:00,18.0,Germany,CF
4321,Steven Pienaar,Midfield,Left Midfield,both,170.0,South Africa,1982-03-17 00:00:00,30.0,South Africa,LW
33951,Sebastien Bassong,Defender,Centre-Back,left,187.0,Cameroon,1986-07-09 00:00:00,26.0,Cameroon,CB
12127,Michael Turner,Defender,Centre-Back,right,193.0,England,1983-11-09 00:00:00,28.0,England,CB
12384,Alexander Tettey,Midfield,Defensive Midfield,right,181.0,Norway,1986-04-04 00:00:00,26.0,Norway,DM
28990,Charlie Adam,Midfield,Central Midfield,left,185.0,Scotland,1985-12-10 00:00:00,26.0,Scotland,CM
26066,Ivan Ramis,Defender,Centre-Back,right,189.0,Spain,1984-10-25 00:00:00,27.0,Spain,CB
8552,Arouna Kone,Attack,Centre-Forward,right,181.0,Cote d'Ivoire,1983-11-11 00:00:00,28.0,Cote d'Ivoire,CF
44065,Esteban Granero,Midfield,Central Midfield,right,180.0,Spain,1987-07-02 00:00:00,25.0,Spain,CM
27470,Stephane Mbia,Midfield,Defensive Midfield,right,189.0,Cameroon,1986-05-20 00:00:00,26.0,Cameroon,DM
136589,Samba Diakite,Midfield,Defensive Midfield,right,186.0,Mali,1989-01-24 00:00:00,23.0,Mali,DM
4592,Ji-sung Park,Midfield,Attacking Midfield,both,178.0,"Korea, South",1981-02-25 00:00:00,31.0,"Korea, South",AM
40205,Demba Ba,Attack,Centre-Forward,right,189.0,Senegal,1985-05-25 00:00:00,27.0,Senegal,CF
57480,Mapou Yanga-Mbiwa,Defender,Centre-Back,right,184.0,France,1989-05-15 00:00:00,23.0,France,CB
27306,Mathieu Debuchy,Defender,Centre-Back,right,177.0,France,1985-07-28 00:00:00,27.0,France,RB
170929,Massadio Haidara,Defender,Left-Back,left,179.0,Mali,1992-12-02 00:00:00,20.0,Mali,LB
23825,Yoan Gouffran,Attack,Left Winger,right,175.0,France,1986-05-25 00:00:00,26.0,France,CM
46001,Moussa Sissoko,Midfield,Central Midfield,right,187.0,France,1989-08-16 00:00:00,23.0,France,CM
43003,Nacho Monreal,Defender,Left-Back,left,179.0,Spain,1986-02-26 00:00:00,26.0,Spain,LB
29152,Danny Graham,Attack,Centre-Forward,right,183.0,England,1985-08-12 00:00:00,27.0,England,CF
55508,Lewis Holtby,Midfield,Central Midfield,left,176.0,Germany,1990-09-18 00:00:00,22.0,Germany,CM
47082,Daniel Sturridge,Attack,Centre-Forward,left,182.0,England,1989-09-01 00:00:00,23.0,England,CF
80444,Philippe Coutinho,Midfield,Attacking Midfield,right,172.0,Brazil,1992-06-12 00:00:00,20.0,Brazil,AM
45121,Loic Remy,Attack,Centre-Forward,right,185.0,France,1987-01-02 00:00:00,26.0,France,CF
12125,Stephen Kelly,Defender,Right-Back,right,184.0,Ireland,1983-09-06 00:00:00,29.0,Ireland,RB
39679,Marouane Fellaini,Midfield,Central Midfield,right,194.0,Belgium,1987-11-22 00:00:00,25.0,Belgium,CM
46104,Stevan Jovetic,Attack,Centre-Forward,right,183.0,Montenegro,1989-11-02 00:00:00,23.0,Montenegro,CF
18644,Alvaro Negredo,Attack,Centre-Forward,left,186.0,Spain,1985-08-20 00:00:00,27.0,Spain,CF
15956,Jesus Navas,Midfield,Right Midfield,right,170.0,Spain,1985-11-21 00:00:00,27.0,Spain,RB
