转会编号,赛季,转会窗口,球员编号,球员姓名,买方球队编号,买方球队名称,买方联赛,卖方球队编号,卖方球队名称,卖方联赛,转会费_百万欧元,市场估值_百万欧元,前赛季出场次数,前赛季总进球,前赛季总助攻,前赛季出场分钟,每90分钟进球,每90分钟助攻,出场分钟_对数,买方联赛平均上座,是否同联赛,是否同国家
725165,2012,s,50202,Eden Hazard,631,Chelsea FC,GB1,1082,LOSC Lille,FR1,35.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,0,0
774129,2012,s,59866,Victor Moses,631,Chelsea FC,GB1,1071,Wigan Athletic,GB1,11.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,1,1
773718,2012,s,57500,Cesar Azpilicueta,631,Chelsea FC,GB1,244,Olympique Marseille,FR1,8.8,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,0,0
713120,2012,s,35251,Marko Marin,631,Chelsea FC,GB1,86,SV Werder Bremen,L1,8.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,0,0
778207,2012,s,46220,Pablo Hernandez,2288,Swansea City,GB1,1049,Valencia CF,ES1,7.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,0,0
753479,2012,s,70789,Michu,2288,Swansea City,GB1,367,Rayo Vallecano,ES1,2.57,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,0,0
746119,2012,s,51681,Chico Flores,2288,Swansea City,GB1,252,Genoa CFC,IT1,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,0,0
770103,2012,s,4380,Robin van Persie,985,Manchester United,GB1,11,Arsenal FC,GB1,30.7,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,1,1
725269,2012,s,81785,Shinji Kagawa,985,Manchester United,GB1,16,Borussia Dortmund,L1,16.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,0,0
777885,2012,s,65,Dimitar Berbatov,931,Fulham FC,GB1,985,Manchester United,GB1,5.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,1,1
778326,2012,s,13979,Ashkan Dejagah,931,Fulham FC,GB1,82,VfL Wolfsburg,L1,2.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,0,0
777757,2012,s,3548,Kieran Richardson,931,Fulham FC,GB1,289,Sunderland AFC,GB1,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,1,1
764551,2012,s,15799,Santi Cazorla,11,Arsenal FC,GB1,1084,Malaga CF,ES1,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,0,0
736548,2012,s,82442,Olivier Giroud,11,Arsenal FC,GB1,969,Montpellier HSC,FR1,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,0,0
752177,2012,s,46831,Modibo Maiga,379,West Ham United,GB1,750,FC Sochaux-Montbeliard,FR1,6.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,0,0
760956,2012,s,12691,James Collins,379,West Ham United,GB1,405,Aston Villa,GB1,3.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,1,1
766199,2012,s,1327,Alou Diarra,379,West Ham United,GB1,244,Olympique Marseille,FR1,2.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,0,0
774125,2012,s,31579,Adam Johnson,289,Sunderland AFC,GB1,281,Manchester City,GB1,12.6,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,1,1
778254,2012,s,143559,Matija Nastasic,281,Manchester City,GB1,430,ACF Fiorentina,IT1,15.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,0,0
767928,2012,s,57079,Jack Rodwell,281,Manchester City,GB1,29,Everton FC,GB1,15.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,1,1
777793,2012,s,31552,Scott Sinclair,281,Manchester City,GB1,2288,Swansea City,GB1,7.8,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,1,1
777904,2012,s,18301,Maicon,281,Manchester City,GB1,46,FC Internazionale,IT1,3.75,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,0,0
777982,2012,s,123742,Gaston Ramirez,180,Southampton FC,GB1,1025,Bologna FC 1909,IT1,15.2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,0,0
776725,2012,s,19368,Mousa Dembele,148,Tottenham Hotspur,GB1,931,Fulham FC,GB1,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35921.084210526315,1,1
